center,left,right,steering,throttle,brake,speed
augmented/center_2017_02_14_17_48_03_111.jpg, augmented/left_2017_02_14_17_48_03_111.jpg, augmented/right_2017_02_14_17_48_03_111.jpg, -0.655563, 0, 0, 2.754735
augmented/center_2017_02_14_17_48_03_215.jpg, augmented/left_2017_02_14_17_48_03_215.jpg, augmented/right_2017_02_14_17_48_03_215.jpg, -0.9483751, 0, 0, 2.693388
augmented/center_2017_02_14_17_48_03_320.jpg, augmented/left_2017_02_14_17_48_03_320.jpg, augmented/right_2017_02_14_17_48_03_320.jpg, -1, 0, 0, 2.650824
augmented/center_2017_02_14_17_48_03_422.jpg, augmented/left_2017_02_14_17_48_03_422.jpg, augmented/right_2017_02_14_17_48_03_422.jpg, -1, 0, 0, 2.620278
augmented/center_2017_02_14_17_48_03_531.jpg, augmented/left_2017_02_14_17_48_03_531.jpg, augmented/right_2017_02_14_17_48_03_531.jpg, -1, 0, 0, 2.585604
augmented/center_2017_02_14_17_48_10_635.jpg, augmented/left_2017_02_14_17_48_10_635.jpg, augmented/right_2017_02_14_17_48_10_635.jpg, -0.999966, 0, 0, 2.098611
augmented/center_2017_02_14_17_48_10_736.jpg, augmented/left_2017_02_14_17_48_10_736.jpg, augmented/right_2017_02_14_17_48_10_736.jpg, -1, 0, 0, 2.069924
augmented/center_2017_02_14_17_48_10_847.jpg, augmented/left_2017_02_14_17_48_10_847.jpg, augmented/right_2017_02_14_17_48_10_847.jpg, -0.6463059, 0, 0, 2.064117
augmented/center_2017_02_14_17_48_10_949.jpg, augmented/left_2017_02_14_17_48_10_949.jpg, augmented/right_2017_02_14_17_48_10_949.jpg, -0.339898, 0, 0, 2.054951
augmented/center_2017_02_14_17_48_14_362.jpg, augmented/left_2017_02_14_17_48_14_362.jpg, augmented/right_2017_02_14_17_48_14_362.jpg, -0.1341299, 0.4007159, 0, 3.489827
augmented/center_2017_02_14_17_48_14_463.jpg, augmented/left_2017_02_14_17_48_14_463.jpg, augmented/right_2017_02_14_17_48_14_463.jpg, -0.4382009, 0.7047869, 0, 4.22716
augmented/center_2017_02_14_17_48_14_565.jpg, augmented/left_2017_02_14_17_48_14_565.jpg, augmented/right_2017_02_14_17_48_14_565.jpg, -0.79581, 1, 0, 5.493978
augmented/center_2017_02_14_17_48_14_667.jpg, augmented/left_2017_02_14_17_48_14_667.jpg, augmented/right_2017_02_14_17_48_14_667.jpg, -0.489519, 1, 0, 6.657628
augmented/center_2017_02_14_17_48_14_769.jpg, augmented/left_2017_02_14_17_48_14_769.jpg, augmented/right_2017_02_14_17_48_14_769.jpg, -0.184875, 1, 0, 7.805167
augmented/center_2017_02_14_17_48_14_869.jpg, augmented/left_2017_02_14_17_48_14_869.jpg, augmented/right_2017_02_14_17_48_14_869.jpg, 0, 1, 0, 8.918032
augmented/center_2017_02_14_17_48_14_975.jpg, augmented/left_2017_02_14_17_48_14_975.jpg, augmented/
